species,genus,family,order,year,month,day,decimalLatitude,decimalLongitude,locality,individualCount,basisOfRecord,datasetName,institutionCode
Recurvirostra avosetta,Recurvirostra,Recurvirostridae,Charadriiformes,2025,11,8,22.508965,114.113071,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Tringa glareola,Tringa,Scolopacidae,Charadriiformes,2025,11,9,22.509982,114.115593,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Anthus cervinus,Anthus,Motacillidae,Passeriformes,2025,11,15,22.508433,114.112769,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Platalea minor,Platalea,Threskiornithidae,Pelecaniformes,2025,11,15,22.593178,113.832792,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Anthus cervinus,Anthus,Motacillidae,Passeriformes,2025,11,9,22.507315,114.112282,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Halcyon smyrnensis,Halcyon,Alcedinidae,Coraciiformes,2025,11,14,22.510263,114.039063,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Motacilla tschutschensis,Motacilla,Motacillidae,Passeriformes,2025,11,8,22.509923,114.11341,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Motacilla tschutschensis,Motacilla,Motacillidae,Passeriformes,2025,11,15,22.504625,114.119047,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Spatula clypeata,Spatula,Anatidae,Anseriformes,2025,11,15,22.521457,113.979018,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Calidris alpina,Calidris,Scolopacidae,Charadriiformes,2025,11,15,22.510576,114.114907,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Pycnonotus jocosus,Pycnonotus,Pycnonotidae,Passeriformes,2025,11,15,22.673409,113.848544,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Anthus richardi,Anthus,Motacillidae,Passeriformes,2025,11,15,22.775937,113.964565,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Halcyon smyrnensis,Halcyon,Alcedinidae,Coraciiformes,2025,11,15,22.471267,114.012623,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Anas crecca,Anas,Anatidae,Anseriformes,2025,11,8,22.509555,114.11356,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Phoenicurus auroreus,Phoenicurus,Muscicapidae,Passeriformes,2025,11,18,22.679138,114.200295,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Pica serica,Pica,Corvidae,Passeriformes,2025,11,7,22.508897,114.116298,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Himantopus himantopus,Himantopus,Recurvirostridae,Charadriiformes,2025,11,9,22.520186,113.992563,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Sturnia sinensis,Sturnia,Sturnidae,Passeriformes,2025,11,7,22.508766,114.116957,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Anas crecca,Anas,Anatidae,Anseriformes,2025,11,8,22.508965,114.113071,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Egretta intermedia,Egretta,Ardeidae,Pelecaniformes,2025,11,9,22.508783,114.115288,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Garrulax perspicillatus,Garrulax,Leiothrichidae,Passeriformes,2025,11,14,22.451547,114.180498,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Emberiza pusilla,Emberiza,Emberizidae,Passeriformes,2025,11,15,22.508047,114.113325,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Ardeola bacchus,Ardeola,Ardeidae,Pelecaniformes,2025,11,6,22.680492,114.201363,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Pica serica,Pica,Corvidae,Passeriformes,2025,11,8,22.509923,114.11341,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Hemixos castanonotus,Hemixos,Pycnonotidae,Passeriformes,2025,11,15,22.672966,113.848566,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Saxicola stejnegeri,Saxicola,Muscicapidae,Passeriformes,2025,11,9,22.509323,114.113915,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Tringa ochropus,Tringa,Scolopacidae,Charadriiformes,2025,11,8,22.510635,114.111222,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Emberiza pusilla,Emberiza,Emberizidae,Passeriformes,2025,11,9,22.50836,114.112923,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Tringa stagnatilis,Tringa,Scolopacidae,Charadriiformes,2025,11,8,22.510683,114.114477,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Orthotomus sutorius,Orthotomus,Cisticolidae,Passeriformes,2025,11,14,22.453152,114.18559,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Pandion haliaetus,Pandion,Pandionidae,Accipitriformes,2025,11,15,22.485993,114.009063,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Emberiza rustica,Emberiza,Emberizidae,Passeriformes,2025,11,15,22.587832,114.179974,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Pycnonotus jocosus,Pycnonotus,Pycnonotidae,Passeriformes,2025,11,15,22.781711,113.955384,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Pycnonotus sinensis,Pycnonotus,Pycnonotidae,Passeriformes,2025,11,15,22.781327,113.955321,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Zosterops simplex,Zosterops,Zosteropidae,Passeriformes,2025,11,19,22.503899,114.123785,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Garrulax perspicillatus,Garrulax,Leiothrichidae,Passeriformes,2025,11,8,22.509555,114.11356,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Saxicola stejnegeri,Saxicola,Muscicapidae,Passeriformes,2025,11,8,22.509555,114.11356,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Hypsipetes leucocephalus,Hypsipetes,Pycnonotidae,Passeriformes,2025,11,15,22.672974,113.848596,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Muscicapa latirostris,Muscicapa,Muscicapidae,Passeriformes,2025,11,17,22.495057,114.105651,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Egretta garzetta,Egretta,Ardeidae,Pelecaniformes,2025,11,14,22.51146,114.038984,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Motacilla alba,Motacilla,Motacillidae,Passeriformes,2025,11,15,22.504883,114.0766,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Anthus cervinus,Anthus,Motacillidae,Passeriformes,2025,11,15,22.504375,114.119023,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Motacilla tschutschensis,Motacilla,Motacillidae,Passeriformes,2025,11,18,22.508795,114.112977,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Pycnonotus aurigaster,Pycnonotus,Pycnonotidae,Passeriformes,2025,11,15,22.775995,113.963528,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Pycnonotus jocosus,Pycnonotus,Pycnonotidae,Passeriformes,2025,11,17,22.492997,114.045114,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Spatula querquedula,Spatula,Anatidae,Anseriformes,2025,11,8,22.509555,114.11356,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Buteo japonicus,Buteo,Accipitridae,Accipitriformes,2025,11,13,22.484859,114.332456,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Passer montanus,Passer,Passeridae,Passeriformes,2025,11,14,22.450194,114.180121,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Gracupica nigricollis,Gracupica,Sturnidae,Passeriformes,2025,11,14,22.451531,114.180518,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Actitis hypoleucos,Actitis,Scolopacidae,Charadriiformes,2025,11,7,22.510273,114.114942,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Acrocephalus orientalis,Acrocephalus,Acrocephalidae,Passeriformes,2025,11,7,22.509093,114.114946,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Saxicola stejnegeri,Saxicola,Muscicapidae,Passeriformes,2025,11,7,22.508907,114.114739,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Tringa stagnatilis,Tringa,Scolopacidae,Charadriiformes,2025,11,18,22.509673,114.114783,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Ardea alba,Ardea,Ardeidae,Pelecaniformes,2025,11,19,22.506121,114.1187,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Hirundo rustica,Hirundo,Hirundinidae,Passeriformes,2025,11,9,22.508783,114.115288,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Pycnonotus jocosus,Pycnonotus,Pycnonotidae,Passeriformes,2025,11,14,22.4504,114.180022,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Prinia inornata,Prinia,Cisticolidae,Passeriformes,2025,11,9,22.508577,114.115295,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Spatula clypeata,Spatula,Anatidae,Anseriformes,2025,11,8,22.508965,114.113071,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Egretta garzetta,Egretta,Ardeidae,Pelecaniformes,2025,11,9,22.518311,114.022598,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Corvus torquatus,Corvus,Corvidae,Passeriformes,2025,11,9,22.509409,114.113382,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Motacilla tschutschensis,Motacilla,Motacillidae,Passeriformes,2025,11,8,22.509391,114.113205,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
Ardea cinerea,Ardea,Ardeidae,Pelecaniformes,2025,11,15,22.504892,114.076845,,,HUMAN_OBSERVATION,iNaturalist research-grade observations,iNaturalist
